stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
53140,906202,CLAIRMONT RD@WILMONT DR,0 CLAIRMONT RD NE & MCJENKIN DR NE,33.850207,-84.315536,,,,,,0
53142,906203,CLAIRMONT RD@CLAIRMONT NORTH  NE,0 CLAIRMONT & CLAIRMONT NORTH,33.852222,-84.314934,,,,,,0
53144,906204,CLAIRMONT RD @ TANGLEWOOD CIR,0 CLAIRMONT RD NE & TANGLEWOOD CIR NE,33.854744,-84.313108,,,,,,0
53146,906197,CLAIRMONT RD@CLAIRMONT TER,0 CLAIRMONT & CLAIRMONT,33.855806,-84.312631,,,,,,0
53148,906198,CLAIRMONT RD@BUFORD HWY,0 CLAIRMONT & BUFORD,33.858398,-84.311981,,,,,,0
53172,906231,PEACHTREE RD NE@BROOKHAVEN DR NE,0 PEACHTREE RD NE & BROOKHAVEN DR NE,33.857527,-84.345308,,,,,,0
53174,906254,PEACHTREE RD NE @ COLONIAL DR NE,0 PEACHTREE RD NE & COLONIAL DR NE,33.857509,-84.343414,,,,,,0
53175,906255,PEACHTREE RD @ N DRUID HILLS RD,0 PEACHTREE & DRUID HILLS,33.858074,-84.341852,,,,,,0
53176,906256,PEACHTREE RD NE @ N DRUID HILLS RD,PEACHTREE RD NE & N DRUID HILLS RD NE,33.859174,-84.340388,,,,,,0
53182,906257,PEACHTREE RD NE @ OSBORNE RD NE,0 PEACHTREE & OSBORNE,33.86506,-84.33705,,,,,,0
53186,906262,PEACHTREE RD NE @ TOWN BLVD,0 PEACHTREE & CROSS KEYS,33.86945,-84.334007,,,,,,0
53188,906263,PEACHTREE RD@CROSS KEYS DR,0 PEACHTREE RD NE & CROSS KEYS AVE,33.868447,-84.334892,,,,,,0
53196,906264,PEACHTREE RD @ BROOKHAVEN DR,0 PEACHTREE RD NE & BROOKHAVEN DR NE,33.85758,-84.345101,,,,,,0
